Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20251219|INDB|104327|0|141309|B,Q,N
20251219|INDE|798|0|1778|Q
20251219|INDH|112|0|12448|Q
20251219|INDI|522708|1219|949661|B,Q,N
20251219|INDL|5565|0|12035|B,Q,N
20251219|INDO|79128|4629|200094|B,Q,N
20251219|INDP|6503|0|9953|B,Q,N
20251219|INDS|1009|0|5972|Q
20251219|INDV|705396|4|1167056|B,Q,N
20251219|INDY|29521|100|95111|B,Q,N
20251219|INEO|1752|28|7068|Q
20251219|INEQ|535|0|2341|Q
20251219|INFL|38604|0|65101|Q,N
20251219|INFO|159|0|1991|Q
20251219|INFU|14561|0|55556|Q,N
20251219|INFY|26062713|48710|55411892|B,Q,N
20251219|ING|245484|562|464501|B,Q,N
20251219|INGM|92015|0|170999|B,Q,N
20251219|INGN|6011|0|21582|Q,N
20251219|INGR|162321|139|221328|B,Q,N
20251219|INHD|5449631|1097372|9023123|B,Q,N
20251219|INKM|1431|0|1702|Q
20251219|INKT|2741|0|10205|B,Q,N
20251219|INLF|2692|0|45414|B,Q
20251219|INLX|31|0|1081|Q
20251219|INM|16339|0|42551|Q,N
20251219|INMB|47651|0|93226|B,Q,N
20251219|INMD|45706|0|211450|B,Q,N
20251219|INMU|75925|0|85292|Q,N
20251219|INN|98495|0|223114|Q,N
20251219|INNpE|100|0|258|Q
20251219|INNpF|727|0|729|Q
20251219|INNV|28872|0|93359|B,Q,N
20251219|INO|257260|38878|924147|B,Q,N
20251219|INOD|305846|1700|585582|B,Q,N
20251219|INOV|25990|0|26590|Q,N
20251219|INQQ|18600|0|40183|Q
20251219|INR|112972|0|295783|Q,N
20251219|INRO|428|0|1235|Q
20251219|INSE|19769|0|58321|Q,N
20251219|INSG|56748|77|89186|Q,N
20251219|INSM|1346128|13912|2380009|B,Q,N
20251219|INSP|294935|1684|950552|B,Q,N
20251219|INSW|62669|93|127776|B,Q,N
20251219|INTA|49639|1|109853|B,Q,N
20251219|INTC|10737487|62144|27243367|B,Q,N
20251219|INTF|53460|0|157311|Q,N
20251219|INTG|1261|0|12234|Q,N
20251219|INTJ|32037|0|41680|Q,N
20251219|INTL|3470|0|6250|Q,N
20251219|INTR|602571|108|1116029|B,Q,N
20251219|INTS|172009|0|378851|B,Q,N
20251219|INTT|6740|0|19626|Q,N
20251219|INTU|335667|84|629558|B,Q,N
20251219|INTW|107870|1200|200289|B,Q,N
20251219|INTZ|13353|0|28791|B,Q,N
20251219|INUV|43283|0|80483|Q,N
20251219|INV|372943|600|746265|B,Q,N
20251219|INVA|167961|0|352875|B,Q,N
20251219|INVE|3947|0|29028|Q
20251219|INVG|200|0|1112|Q
20251219|INVH|486273|0|1464067|B,Q,N
20251219|INVN|10|0|14|Q
20251219|INVX|46306|0|188615|Q,N
20251219|INVZ|506252|0|1657297|Q,N
20251219|INVZW|22909|0|38246|Q
20251219|IOBT|162385|0|305642|B,Q,N
20251219|IOCT|570|0|9355|Q
20251219|ION|3382|0|3565|Q,N
20251219|IONL|39155|0|92584|B,Q,N
20251219|IONQ|2956185|9704|5677369|B,Q,N
20251219|IONQ/WS|32|0|762|Q
20251219|IONR|16656|824|115616|B,Q,N
20251219|IONS|401750|26533|722770|B,Q,N
20251219|IONX|274309|0|595717|B,Q,N
20251219|IONZ|289490|9734|668592|B,Q,N
20251219|IOO|17152|0|145453|B,Q,N
20251219|IOPP|981|0|1416|Q
20251219|IOSP|30391|0|56906|Q,N
20251219|IOT|1232312|707|1964825|B,Q,N
20251219|IOTR|5715|0|9779|Q,N
20251219|IOVA|1897580|27200|6095214|B,Q,N
20251219|IOYY|4633|0|12914|Q,N
20251219|IP|601128|11717|1121550|B,Q,N
20251219|IPAC|36334|0|54093|B,Q,N
20251219|IPAR|57279|0|110052|B,Q,N
20251219|IPAY|1644|0|8745|Q,N
20251219|IPB|12|0|3294|Q
20251219|IPDN|15898|310|70272|B,Q,N
20251219|IPGP|55773|4101|86765|B,Q,N
20251219|IPHA|2970|0|7296|Q,N
20251219|IPI|15029|500|38175|B,Q,N
20251219|IPKW|38468|0|45307|B,Q,N
20251219|IPM|6326|0|15335|Q
20251219|IPO|21030|0|28738|Q,N
20251219|IPOD|3|0|1492|Q
20251219|IPOS|3|0|3|N
20251219|IPSC|1001354|21382|3650617|B,Q,N
20251219|IPST|7930|806|25596|Q,N
20251219|IPW|9336|0|14981|Q,N
20251219|IPWR|42977|0|87975|B,Q,N
20251219|IPX|35377|0|68345|B,Q,N
20251219|IQ|2212248|6421|4975251|B,Q,N
20251219|IQDF|34545|0|56857|Q,N
20251219|IQDG|9712|271|177029|Q
20251219|IQDY|3390|0|5118|Q,N
20251219|IQHI|1|0|91|Q
20251219|IQI|25429|0|85260|Q,N
20251219|IQLT|887257|2800|2116396|B,Q,N
20251219|IQM|666|0|3851|B,Q,N
20251219|IQQQ|75984|0|103951|Q,N
20251219|IQSI|12|0|2219|Q
